noaaID,MPlus,zero,one,Class,y_true
13284.0,0.15,0.7982584238052368,0.2017416059970855,N,0
13287.0,0.1092,0.8143197298049927,0.1856802254915237,N,0
13298.0,0.0044,0.813612699508667,0.1863872855901718,N,0
13303.0,0.0868,0.7978339195251465,0.2021660208702087,N,0
13307.0,0.0034,0.8144056797027588,0.1855943202972412,N,0
13345.0,0.0098,0.7780789732933044,0.2219210565090179,N,0
13349.0,0.0033,0.7985695004463196,0.2014305889606475,N,0
13362.0,0.1351,0.7692621350288391,0.2307378500699997,N,0
13412.0,0.0812,0.7530139088630676,0.2469861060380935,N,0
13414.0,0.0361,0.7445722222328186,0.255427747964859,N,0
13420.0,0.0034,0.7540676593780518,0.2459323704242706,N,0
13439.0,0.0016,0.7386289834976196,0.2613709568977356,N,0
13446.0,0.0217,0.786134660243988,0.2138653248548507,N,0
13501.0,0.0281,0.7526975274085999,0.2473024725914001,N,0
13512.0,0.1522,0.816792905330658,0.183207020163536,N,0
13522.0,0.0177,0.7976431250572205,0.2023569643497467,N,0
13525.0,0.0034,0.8032568097114563,0.1967433094978332,N,0
13563.0,0.0034,0.8147177696228027,0.185282215476036,N,0
13570.0,0.032,0.7619620561599731,0.2380379885435104,N,0
13572.0,0.0033,0.8132316470146179,0.1867683678865432,N,0
13577.0,0.0033,0.7763774394989014,0.223622590303421,N,0
13581.0,0.0289,0.7578861117362976,0.2421138733625412,N,0
13610.0,0.0053,0.8048060536384583,0.1951940059661865,N,0
13611.0,0.0032,0.808925211429596,0.1910747289657592,N,0
13624.0,0.0041,0.813758909702301,0.1862410604953766,N,0
13627.0,0.1516,0.8031678199768066,0.1968321800231933,N,0
13653.0,0.0356,0.8097354173660278,0.1902645528316497,N,0
13659.0,0.0028,0.8162521123886108,0.1837478876113891,N,0
13660.0,0.0332,0.8054535984992981,0.1945464462041854,N,0
13666.0,0.0036,0.6974100470542908,0.3025898933410644,N,0
13667.0,0.0038,0.6983759999275208,0.3016239404678345,N,0
13678.0,0.0084,0.8084032535552979,0.1915968060493469,N,0
13693.0,0.0525,0.7193295955657959,0.2806704640388489,N,0
13696.0,0.0809,0.804043173789978,0.1959568709135055,N,0
13704.0,0.0533,0.7800681591033936,0.2199318557977676,N,0
13706.0,0.0739,0.8000598549842834,0.1999401599168777,N,0
13715.0,0.0025,0.8157917261123657,0.1842082738876342,N,0
13741.0,0.0103,0.81010502576828,0.1898950487375259,N,0
13297.0,0.2433,0.5592369437217712,0.4407630264759063,C,0
13333.0,0.1771,0.6852524280548096,0.314747542142868,C,0
13392.0,0.0015,0.6450299024581909,0.3549700975418091,C,0
13404.0,0.0033,0.7463327050209045,0.2536673247814178,C,0
13416.0,0.0037,0.7530273795127869,0.2469726502895355,C,0
13462.0,0.0034,0.7422288060188293,0.2577711343765259,C,0
13463.0,0.0109,0.7337998151779175,0.2662002742290497,C,0
13464.0,0.1459,0.6898713707923889,0.3101286590099334,C,0
13465.0,0.2285,0.6709709167480469,0.3290290832519531,C,0
13478.0,0.009,0.789417564868927,0.2105824947357177,C,0
13503.0,0.0028,0.7551173567771912,0.2448827028274536,C,0
13507.0,0.01,0.6861039996147156,0.3138959407806396,C,0
13533.0,0.0034,0.7523884177207947,0.2476116120815277,C,0
13534.0,0.0015,0.7048725485801697,0.2951274812221527,C,0
13545.0,0.0021,0.6759061813354492,0.3240938186645508,C,0
13546.0,0.2929,0.6536707878112793,0.3463293015956878,C,0
13560.0,0.0034,0.7548608183860779,0.2451392114162445,C,0
13574.0,0.0281,0.7785180807113647,0.221481904387474,C,0
13583.0,0.004,0.6434148550033569,0.3565852642059326,C,0
13584.0,0.0014,0.7023860216140747,0.2976139783859253,C,0
13595.0,0.0151,0.6217583417892456,0.3782416582107544,C,0
13604.0,0.0033,0.7494233250617981,0.2505766153335571,C,0
13632.0,0.0048,0.7465568780899048,0.2534431219100952,C,0
13636.0,0.0018,0.7098898887634277,0.290110170841217,C,0
13657.0,0.0034,0.7440087199211121,0.2559912800788879,C,0
13672.0,0.1808,0.7073048949241638,0.292695015668869,C,0
13698.0,0.0016,0.6709092259407043,0.329090803861618,C,0
13701.0,0.0017,0.7330499887466431,0.2669499516487121,C,0
13729.0,0.1521,0.6245325803756714,0.375467449426651,C,0
13750.0,0.0012,0.695738673210144,0.3042612969875335,C,0
13757.0,0.0102,0.7032634019851685,0.2967365682125091,C,0
13315.0,0.0269,0.4645912945270538,0.5354086756706238,M,1
13327.0,0.0203,0.5585498213768005,0.4414501488208771,M,1
13372.0,0.0122,0.4123948216438293,0.5876051783561707,M,1
13559.0,0.259,0.3432633578777313,0.6567366123199463,M,1
13634.0,0.0582,0.5403989553451538,0.4596010446548462,M,1
13712.0,0.01,0.5157124996185303,0.4842874705791473,M,1
13590.0,0.1735,0.2547510266304016,0.7452489733695984,X,1
13697.0,0.0482,0.2586027085781097,0.7413973212242126,X,1
