noaaID,MPlus,zero,one,Class,y_true
13284.0,0.15,0.8512238264083862,0.1487762033939361,N,0
13287.0,0.1092,0.8746470212936401,0.1253530383110046,N,0
13298.0,0.0044,0.877361536026001,0.122638463973999,N,0
13303.0,0.0868,0.8515142202377319,0.1484857648611068,N,0
13307.0,0.0034,0.8789518475532532,0.1210481598973274,N,0
13345.0,0.0098,0.8202652931213379,0.1797346770763397,N,0
13349.0,0.0033,0.8340157270431519,0.1659843027591705,N,0
13362.0,0.1351,0.8351138830184937,0.1648861169815063,N,0
13412.0,0.0812,0.8229191303253174,0.1770808696746826,N,0
13414.0,0.0361,0.8449459671974182,0.1550540775060653,N,0
13420.0,0.0034,0.7766093611717224,0.2233906686305999,N,0
13439.0,0.0016,0.7494544982910156,0.2505455613136291,N,0
13446.0,0.0217,0.8144893050193787,0.1855106651782989,N,0
13501.0,0.0281,0.835102379322052,0.1648976057767868,N,0
13512.0,0.1522,0.8686763048171997,0.1313236653804779,N,0
13522.0,0.0177,0.8511162996292114,0.1488837301731109,N,0
13525.0,0.0034,0.8599854111671448,0.1400146484375,N,0
13563.0,0.0034,0.8743085265159607,0.1256914734840393,N,0
13570.0,0.032,0.7817984223365784,0.2182015180587768,N,0
13572.0,0.0033,0.8744664788246155,0.1255335509777069,N,0
13577.0,0.0033,0.8099383115768433,0.1900617331266403,N,0
13581.0,0.0289,0.8227637410163879,0.177236258983612,N,0
13610.0,0.0053,0.8529242277145386,0.1470757722854614,N,0
13611.0,0.0032,0.8731643557548523,0.1268355846405029,N,0
13624.0,0.0041,0.875805675983429,0.1241942718625068,N,0
13627.0,0.1516,0.8673641681671143,0.1326358914375305,N,0
13653.0,0.0356,0.865611732006073,0.134388267993927,N,0
13659.0,0.0028,0.8699737191200256,0.1300263255834579,N,0
13660.0,0.0332,0.8541754484176636,0.1458245515823364,N,0
13666.0,0.0036,0.7056219577789307,0.2943780720233917,N,0
13667.0,0.0038,0.7012972831726074,0.2987027466297149,N,0
13678.0,0.0084,0.8742755055427551,0.1257244944572448,N,0
13693.0,0.0525,0.7281002998352051,0.2718997895717621,N,0
13696.0,0.0809,0.8596315979957581,0.1403684318065643,N,0
13704.0,0.0533,0.8327949047088623,0.1672051399946212,N,0
13706.0,0.0739,0.8467126488685608,0.1532873511314392,N,0
13715.0,0.0025,0.8780425190925598,0.1219575405120849,N,0
13741.0,0.0103,0.8721723556518555,0.1278276443481445,N,0
13297.0,0.2433,0.4494251906871795,0.5505748391151428,C,0
13333.0,0.1771,0.6832548975944519,0.3167451322078705,C,0
13392.0,0.0015,0.6244680881500244,0.3755319118499756,C,0
13404.0,0.0033,0.750134289264679,0.2498657554388046,C,0
13416.0,0.0037,0.7547267079353333,0.2452732622623443,C,0
13462.0,0.0034,0.7565976977348328,0.2434022575616836,C,0
13463.0,0.0109,0.7559327483177185,0.2440672367811203,C,0
13464.0,0.1459,0.6900296807289124,0.30997034907341,C,0
13465.0,0.2285,0.6826726794242859,0.3173273205757141,C,0
13478.0,0.009,0.8198113441467285,0.1801886707544326,C,0
13503.0,0.0028,0.7746281623840332,0.2253718227148056,C,0
13507.0,0.01,0.6994427442550659,0.3005572259426117,C,0
13533.0,0.0034,0.7707617282867432,0.2292382568120956,C,0
13534.0,0.0015,0.6981711983680725,0.3018287718296051,C,0
13545.0,0.0021,0.6901560425758362,0.3098439872264862,C,0
13546.0,0.2929,0.5808469653129578,0.4191530644893646,C,0
13560.0,0.0034,0.7594534158706665,0.240546628832817,C,0
13574.0,0.0281,0.8195456266403198,0.1804544627666473,C,0
13583.0,0.004,0.5823547840118408,0.4176451563835144,C,0
13584.0,0.0014,0.7168264389038086,0.2831735908985138,C,0
13595.0,0.0151,0.5655509829521179,0.4344488978385925,C,0
13604.0,0.0033,0.7534343004226685,0.2465656548738479,C,0
13632.0,0.0048,0.7536428570747375,0.2463571280241012,C,0
13636.0,0.0018,0.6897143125534058,0.3102857172489166,C,0
13657.0,0.0034,0.7466155290603638,0.2533845007419586,C,0
13672.0,0.1808,0.6904585361480713,0.3095414638519287,C,0
13698.0,0.0016,0.6463778614997864,0.3536221385002136,C,0
13701.0,0.0017,0.746229350566864,0.253770649433136,C,0
13729.0,0.1521,0.6038110852241516,0.3961889147758484,C,0
13750.0,0.0012,0.6689713597297668,0.3310286402702331,C,0
13757.0,0.0102,0.7060142159461975,0.2939858734607696,C,0
13315.0,0.0269,0.3067322671413421,0.6932677626609802,M,1
13327.0,0.0203,0.4526184797286987,0.5473814606666565,M,1
13372.0,0.0122,0.2397433519363403,0.7602567076683044,M,1
13559.0,0.259,0.1656407117843628,0.8343592286109924,M,1
13634.0,0.0582,0.4223697781562805,0.5776302218437195,M,1
13712.0,0.01,0.3797707557678222,0.6202292442321777,M,1
13590.0,0.1735,0.0678614899516105,0.9321385025978088,X,1
13697.0,0.0482,0.1318548619747162,0.8681451082229614,X,1
