noaaID,MPlus,zero,one,Class,y_true
13284.0,0.15,0.832916796207428,0.1670831441879272,N,0
13287.0,0.1092,0.8619676232337952,0.1380323618650436,N,0
13298.0,0.0044,0.8641207814216614,0.1358792334794998,N,0
13303.0,0.0868,0.8245049715042114,0.1754950284957885,N,0
13307.0,0.0034,0.8747392892837524,0.1252607107162475,N,0
13345.0,0.0098,0.8067549467086792,0.1932450979948043,N,0
13349.0,0.0033,0.8025848865509033,0.197415143251419,N,0
13362.0,0.1351,0.8848313093185425,0.1151686236262321,N,0
13412.0,0.0812,0.866213321685791,0.1337866783142089,N,0
13414.0,0.0361,0.8631560802459717,0.1368438899517059,N,0
13420.0,0.0034,0.7336377501487732,0.2663622796535492,N,0
13439.0,0.0016,0.7107126116752625,0.2892873585224151,N,0
13446.0,0.0217,0.767601490020752,0.2323985397815704,N,0
13501.0,0.0281,0.8657097220420837,0.1342902034521103,N,0
13512.0,0.1522,0.8539981245994568,0.1460018754005432,N,0
13522.0,0.0177,0.8357012867927551,0.1642986983060836,N,0
13525.0,0.0034,0.8554524183273315,0.1445474922657013,N,0
13563.0,0.0034,0.8695347905158997,0.1304652094841003,N,0
13570.0,0.032,0.7453275918960571,0.2546723484992981,N,0
13572.0,0.0033,0.8625251650810242,0.1374748945236206,N,0
13577.0,0.0033,0.7966396808624268,0.2033602893352508,N,0
13581.0,0.0289,0.8614993691444397,0.1385006010532379,N,0
13610.0,0.0053,0.8361688852310181,0.1638310551643371,N,0
13611.0,0.0032,0.8638315200805664,0.1361684799194336,N,0
13624.0,0.0041,0.8630403876304626,0.1369596272706985,N,0
13627.0,0.1516,0.8570001125335693,0.1429999470710754,N,0
13653.0,0.0356,0.840238630771637,0.1597614139318466,N,0
13659.0,0.0028,0.8567910194396973,0.1432089507579803,N,0
13660.0,0.0332,0.8272309303283691,0.1727690696716308,N,0
13666.0,0.0036,0.7215333580970764,0.2784666717052459,N,0
13667.0,0.0038,0.7340683341026306,0.2659316658973694,N,0
13678.0,0.0084,0.8656796813011169,0.1343203634023666,N,0
13693.0,0.0525,0.7336018681526184,0.2663981318473816,N,0
13696.0,0.0809,0.8487582802772522,0.1512417644262313,N,0
13704.0,0.0533,0.8297725319862366,0.1702274680137634,N,0
13706.0,0.0739,0.8209800124168396,0.1790200024843216,N,0
13715.0,0.0025,0.8667793273925781,0.1332207173109054,N,0
13741.0,0.0103,0.859370231628418,0.140629693865776,N,0
13297.0,0.2433,0.4573859572410583,0.5426141619682312,C,0
13333.0,0.1771,0.6977237462997437,0.3022761344909668,C,0
13392.0,0.0015,0.646344780921936,0.3536552786827087,C,0
13404.0,0.0033,0.7005628347396851,0.2994371950626373,C,0
13416.0,0.0037,0.7047978639602661,0.2952021062374115,C,0
13462.0,0.0034,0.68584805727005,0.3141519129276275,C,0
13463.0,0.0109,0.7278370261192322,0.2721630036830902,C,0
13464.0,0.1459,0.7242220044136047,0.2757780253887176,C,0
13465.0,0.2285,0.7399849891662598,0.2600150406360626,C,0
13478.0,0.009,0.7873386144638062,0.2126613855361938,C,0
13503.0,0.0028,0.7341182827949524,0.26588174700737,C,0
13507.0,0.01,0.7229821085929871,0.2770179212093353,C,0
13533.0,0.0034,0.7345101833343506,0.2654898762702942,C,0
13534.0,0.0015,0.6468973159790039,0.3531027436256408,C,0
13545.0,0.0021,0.7467135190963745,0.2532864809036255,C,0
13546.0,0.2929,0.4353415071964264,0.5646584630012512,C,0
13560.0,0.0034,0.7064446806907654,0.2935553789138794,C,0
13574.0,0.0281,0.7980920076370239,0.2019080370664596,C,0
13583.0,0.004,0.6109830737113953,0.3890169858932495,C,0
13584.0,0.0014,0.666046142578125,0.333953857421875,C,0
13595.0,0.0151,0.6197106838226318,0.3802893459796905,C,0
13604.0,0.0033,0.6957740187644958,0.3042260408401489,C,0
13632.0,0.0048,0.6744171977043152,0.3255828320980072,C,0
13636.0,0.0018,0.6378461122512817,0.3621538877487182,C,0
13657.0,0.0034,0.6783377528190613,0.3216622173786163,C,0
13672.0,0.1808,0.675010621547699,0.3249894082546234,C,0
13698.0,0.0016,0.6493573784828186,0.3506426215171814,C,0
13701.0,0.0017,0.7314817905426025,0.2685182094573974,C,0
13729.0,0.1521,0.6103715300559998,0.3896284997463226,C,0
13750.0,0.0012,0.6271082758903503,0.3728917837142944,C,0
13757.0,0.0102,0.6191828846931458,0.380817174911499,C,0
13315.0,0.0269,0.1947498023509979,0.8052502274513245,M,1
13327.0,0.0203,0.4591578841209411,0.5408421754837036,M,1
13372.0,0.0122,0.2773273587226867,0.7226725816726685,M,1
13559.0,0.259,0.0925840958952903,0.9074158668518066,M,1
13634.0,0.0582,0.3593615591526031,0.640638530254364,M,1
13712.0,0.01,0.2882216274738312,0.7117783427238464,M,1
13590.0,0.1735,0.1001311466097831,0.899868905544281,X,1
13697.0,0.0482,0.1659555286169052,0.8340444564819336,X,1
